"logFC","AveExpr","t","P.Value","adj.P.Val","B","probe_id","symbol","negLogP","threshold"
-1.1611,6.67865,-2.54906209566072,0.0184961262781755,0.587810080227176,-3.73837656125882,"211929_at","HNRNPA3",0.230762970577966,"Not Significant"
-1.0629,5.02875,-3.30784190594237,0.00327834229974092,0.587810080227176,-3.19235225346203,"203427_at","ASF1A",0.230762970577966,"Not Significant"
-1.0534,4.4114,-2.2383459784434,0.0359148865282778,0.587810080227176,-3.95464619771404,"224830_at","NUDT21",0.230762970577966,"Not Significant"
-1.0389,6.01455,-1.90642449294998,0.0700732614687618,0.587810080227176,-4.17321079555959,"221505_at","ANP32E",0.230762970577966,"Not Significant"
-1.009,6.4154,-2.10635164310603,0.0471073345908235,0.587810080227176,-4.0434451219052,"208754_s_at","NAP1L1",0.230762970577966,"Not Significant"
-1.008,5.0108,-3.13257258824994,0.00494052683166746,0.587810080227176,-3.31869150686247,"201018_at","EIF1AX",0.230762970577966,"Not Significant"
-1.0045,8.29355,-2.17371689505366,0.0410518440999567,0.587810080227176,-3.99840103729357,"201034_at","ADD3",0.230762970577966,"Not Significant"
-0.9816,5.2802,-2.42162229749574,0.0243780164506469,0.587810080227176,-3.82810181831372,"201664_at","SMC4",0.230762970577966,"Not Significant"
-0.9705,5.99725,-1.96155676624631,0.0629146775505488,0.587810080227176,-4.13806306172117,"202413_s_at","USP1",0.230762970577966,"Not Significant"
-0.959499999999999,6.81945,-2.24183898926934,0.0356547049083957,0.587810080227176,-3.95226725226666,"209337_at","PSIP1",0.230762970577966,"Not Significant"
-0.957499999999999,4.81775,-2.51179356744578,0.0200622874081558,0.587810080227176,-3.76473822185914,"202502_at","ACADM",0.230762970577966,"Not Significant"
-0.9442,5.0262,-2.75824556574667,0.0116331995773754,0.587810080227176,-3.58897577760454,"203302_at","DCK",0.230762970577966,"Not Significant"
-0.941599999999999,6.5028,-2.37505785549646,0.0269301313388126,0.587810080227176,-3.8605614928847,"211971_s_at","LRPPRC",0.230762970577966,"Not Significant"
-0.934700000000001,6.79945,-1.88025089809884,0.0737156775062011,0.587810080227176,-4.18971228831188,"203804_s_at","LUC7L3",0.230762970577966,"Not Significant"
-0.9003,5.71175,-2.21944413885888,0.0373531089247569,0.587810080227176,-3.96749489393565,"200969_at","SERP1",0.230762970577966,"Not Significant"
-0.8931,5.29155,-2.01951398975295,0.056094574764323,0.587810080227176,-4.10057413492739,"222572_at","PDP1",0.230762970577966,"Not Significant"
-0.889699999999999,5.91175,-2.35002910661547,0.0284018644279384,0.587810080227176,-3.87792742886936,"201458_s_at","BUB3",0.230762970577966,"Not Significant"
-0.884999999999999,5.3567,-2.52964136898307,0.0192973959829134,0.587810080227176,-3.7521253363203,"227369_at","SERBP1",0.230762970577966,"Not Significant"
-0.862699999999999,5.01085,-2.20679411325385,0.038344744284362,0.587810080227176,-3.97607029401213,"200749_at","RAN",0.230762970577966,"Not Significant"
-0.856999999999999,4.2105,-2.47775066145274,0.0216003309232439,0.587810080227176,-3.78873342794998,"218989_x_at","SLC30A5",0.230762970577966,"Not Significant"
