"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",8.15845801856933e-05,0.00037083900084406,0.538434096309916,0.357177361221807,1.85407559081179,97,"OASL,SAMD9L,IFIT3,ISG15,MX1,IFI35,IFIT2,SP110,CD74,IFI27,TRIM25,OAS1,CSF1,ELF1,TRIM21,PARP9,ISG20,TRAFD1,RNF31,TAP1,RSAD2,HELZ2,TRIM14,CNP,PARP14,IRF7,IFITM2,WARS1,PLSCR1,ADAR,GMPR,BST2,IFITM1,IFI44L,OGFR"
"HALLMARK_COAGULATION",0.000307517238815213,0.00128132182839672,0.49849310876659,0.308281476203992,1.65805094167934,138,"MMP9,SERPING1,WDR1,SERPINA1,CLU,GP1BA,GP9,PECAM1,ITGB3,TIMP1,FGA,CAPN5,C3,PRSS23,GSN,SH2B2,PROC,SERPINB2,KLF7,BMP1,MASP2,CPQ,APOC1,F12,CASP9,MMP2,C8A,GNB2,MSRB2,TMPRSS6,ANXA1,PLG,CFB,CD9,APOC3,APOC2,SIRT2,RAC1,MMP11,KLK8,S100A1,A2M,HRG,THBD,TF,HNF4A,RAPGEF3,F3,FN1,CPB2,CPN1,PEF1,PLAU,MMP14,PLEK,MMP1,GDA,LRP1,PDGFB,C9,MEP1A"
"HALLMARK_MYC_TARGETS_V2",0.000500584945902614,0.00192532671501005,0.477270815362862,-0.516694704479787,-1.76408287382223,57,"TFB2M,NPM1,CBX3,DDX18,HSPD1,WDR43,GNL3,TMEM97,NOLC1,NIP7,TBRG4,NDUFAF4,HSPE1,PRMT3,PA2G4,MPHOSPH10,MYC,SORD,GRWD1,NOP16,MCM4,CDK4,SUPV3L1,MCM5,HK2,RCL1,LAS1L,UNG,AIMP2,RRP9,PUS1,IPO4,MYBBP1A,PPAN,PPRC1,UTP20,DCTPP1"
"HALLMARK_ALLOGRAFT_REJECTION",0.000771797834787416,0.00275642083852648,0.477270815362862,-0.393514369617213,-1.54381503557553,200,"TRAT1,ITK,EIF5A,LY75,CD28,MRPL3,UBE2N,NPM1,ETS1,RPS3A,CD47,ABCE1,CRTAM,GPR65,HDAC9,ST8SIA4,ABI1,NCK1,TPD52,DARS1,FAS,IL15,EIF3A,RPL9,CD96,RPL39,CD3E,GALNT1,MAP3K7,PTPRC,ACVR2A,LCK,STAT4,MTIF2,CCND2,BCL10,STAT1,CD2,EIF3J,CD3D,CCR2,UBE2D1,FYB1,TAP2,CD8B,HIF1A,KRT1,IKBKB,IRF8,CD40LG,CD3G,PRKCB,IGSF6,NME1,CD7,RPS19,SOCS5,LCP2,CD1D,HLA-DOA,DEGS1,GBP2,CTSS,HLA-DMB,IFNAR2,IFNGR1,IRF4,CD247,IL2RB"
"HALLMARK_HEME_METABOLISM",0.000968345470540243,0.00322781823513414,0.477270815362862,-0.390659304786352,-1.53261419424993,200,"BPGM,KLF3,TFRC,SLC11A2,NEK7,SLC30A1,RNF19A,NR3C1,CPOX,CROCCP2,ISCA1,BNIP3L,FBXO9,ALDH6A1,GCLC,DCUN1D1,CDR2,TCEA1,XK,AQP3,CA1,GYPB,CDC27,MINPP1,USP15,YPEL5,PICALM,BMP2K,SYNJ1,GMPS,CLCN3,KAT2B,ACSL6,LAMP2,MARK3,DAAM1,OPTN,MFHAS1,TRAK2,NCOA4,ANK1,ELL2,FBXO34,TENT5C,BACH1,MOSPD1,SNCA,UCP2,FECH,MGST3,FOXO3,MKRN1,VEZF1,RIOK3,CAT,SLC25A38,OSBP2,TMEM9B,NUDT4,CA2,CAST,TNS1,NNT,GCLM,ALAD,ASNS,ATG4A,UROS,HTATIP2,CTSE,ALAS2,SDCBP,TFDP2,DCAF10,GLRX5,GAPVD1,MARCHF8,RNF123,RCL1,CCDC28A,PPOX,GYPA,CLIC2,ERMAP,TRIM58,UROD,RANBP10,SLC4A1,BTRC"
"HALLMARK_DNA_REPAIR",0.0011792309308539,0.00353149531252567,0.45505986738723,-0.414672190202378,-1.60011133908569,150,"NUDT21,AK3,SMAD5,HPRT1,UPF3B,ERCC4,POLR2K,GTF2H3,POLR3GL,NCBP2,RALA,DCTN4,RRM2B,TMED2,ARL6IP1,SRSF6,RFC3,TAF13,POLR2D,ZWINT,GTF2H1,SNAPC5,RFC4,RNMT,PCNA,ELOA,COX17,PDE4B,TAF9,POLR1D,RFC5,NUDT9,TYMS,CSTF3,GTF2A2,NME1,NFX1,ERCC5,RPA3,PRIM1,CMPK2,REV3L,MRPL40,UMPS,DGCR8,NELFCD,POLH,ADA,FEN1,TP53,GTF2H5,IMPDH2,SF3A3,ERCC1,EIF1B,NME4,SDCBP,DUT,GSDME,NPR2,POLD3,POLR3C,POLR1C,POLA1,PNP,CLP1,RPA2,APRT,POLE4,POLB,ERCC8,GTF2B,POLR2E"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00120070840625873,0.00353149531252567,0.45505986738723,0.249699912788103,1.39862190207722,200,"MYL9,SPP1,ANPEP,COL6A2,SLC6A8,PDLIM4,CD59,ADAM12,COL4A2,ITGB3,QSOX1,PLAUR,TIMP1,JUN,FLNA,DST,COL5A1,NOTCH2,FBLN1,ITGA5,LOXL2,ITGB5,PVR,OXTR,CALD1,THY1,GADD45B,BMP1,COL3A1,COL1A2,RGS4,CDH11,PLOD1,BGN,DAB2,TNC,PMP22,MYLK,FMOD,COPA,MMP2,SGCD,LAMC2,NTM,ABI3BP,SLIT3,MSX1,NNMT,MFAP5,CDH2,CAPG,MGP,TGFB1,IGFBP4,TAGLN,POSTN,APLP1,FOXC2,LGALS1,LAMA3,LAMC1,RHOB,COLGALT1,LOX,SDC4,CADM1,ELN,PMEPA1,COL12A1,FN1,BASP1,ECM2,MMP14,MMP1,BDNF,ECM1,LRP1,PRRX1,PLOD2,TPM2,PTHLH,COL1A1,CDH6,SPOCK1,COL16A1,TPM4,FSTL3,SPARC,FSTL1,THBS2,SFRP1,FZD8,PDGFRB,FERMT2,TNFRSF12A,SFRP4,EFEMP2,SGCG,TFPI2"
"HALLMARK_ADIPOGENESIS",0.00205962518530299,0.00572118107028609,0.431707695803346,-0.378783042325209,-1.48602186123859,200,"CMPK1,CD36,ACADM,HADH,EPHX2,TANK,G3BP2,DLAT,DRAM2,CD302,PPM1B,UBQLN1,REEP5,CAVIN2,NABP1,HIBCH,DNAJB9,NDUFA5,GHITM,CCNG2,SCP2,RNF11,ATL2,DNAJC15,PDCD4,COX7B,PPP1R15B,SLC66A3,TOB1,CHUK,UQCR10,DLD,MCCC1,CDKN2C,PRDX3,MAP4K3,IDH3A,PTCD3,MRPL15,AK2,MTCH2,YWHAG,DBT,SOD1,UCP2,MGST3,IDH1,GRPEL1,COQ3,PLIN2,BCL2L13,ATP5PO,RIOK3,CAT,PHYH,GPD2,GBE1,COQ5,IFNGR1,ACLY,CPT2,GPAM"
"HALLMARK_FATTY_ACID_METABOLISM",0.00334748209993757,0.00880916342088835,0.431707695803346,-0.393239014250795,-1.51968237409556,156,"XIST,CD36,ACADM,SUCLG2,HADH,CPOX,HSPH1,RDH11,HSP90AA1,SUCLA2,OSTC,HIBCH,SDHD,CRYZ,ELOVL5,MDH1,DLD,SERINC1,METAP1,ALDH3A2,APEX1,PDHB,RAP1GDS1,HCCS,SMS,IDH1,ALDH9A1,HSD17B11,PDHA1,UGDH,CD1D,GPD2,ECI2,CA2,ACSL5,MCEE,ENO2,GCDH,ALAD,NBN,CPT2,BCKDHB,ADSL,HMGCS1,ACAT2,IDI1,UROS,H2AZ1,LDHA,ALDH1A1,SLC22A5,HPGD,ACOT2,ERP29,MIF,CBR3"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00871118168315727,0.0217779542078932,0.380730400722792,-0.409215490394636,-1.52950500605868,105,"CAMK4,ATF1,UBE2N,PIKFYVE,ACTR3,UBE2D3,EIF4E,PDK1,RPS6KA3,GSK3B,THEM4,PTPN11,NCK1,CDKN1B,TIAM1,SMAD2,ITPR2,RIT1,PTEN,MAPK8,MAPK9,MAP3K7,HSP90B1,LCK"
